"","","#","Nat","Team","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"134",17,17,"🇷🇺","Boikova / Kozlovskii",45.93,36.41,82.34,3.54,9.09,2020,"EC","SP"
"135",18,18,"🇷🇺","Boikova / Kozlovskii",43.44,36.72,80.16,3.63,9.17,2021,"WC","SP"
"136",19,19,"🇷🇺","Boikova / Kozlovskii",45.36,34.78,80.14,3.4,8.71,2020,"GPRUS","SP"
"137",20,20,"🇷🇺","Boikova / Kozlovskii",42.17,36.42,78.59,3.33,9.08,2022,"OLY","SP"
"138",21,21,"🇷🇺","Boikova / Kozlovskii",41.66,35.51,77.17,2.9,8.88,2022,"GPFRA","SP"
"139",22,22,"🇷🇺","Boikova / Kozlovskii",43.27,33.66,76.93,3.11,8.42,2020,"SHATRO","SP"
"140",23,23,"🇷🇺","Boikova / Kozlovskii",42.48,34.17,76.65,2.71,8.56,2020,"GPF","SP"
"141",24,24,"🇷🇺","Boikova / Kozlovskii",43.25,33.2,76.45,3.16,8.3,2020,"GPCAN","SP"
"142",25,25,"🇷🇺","Boikova / Kozlovskii",39.05,37.21,76.26,2.84,9.29,2022,"EC","SP"
"143",26,26,"🇷🇺","Boikova / Kozlovskii",40.17,35.26,75.43,2.69,8.78,2022,"GPUSA","SP"
"144",27,27,"🇷🇺","Boikova / Kozlovskii",40.54,32.04,72.58,3.14,8.03,2019,"EC","SP"
"145",28,28,"🇷🇺","Boikova / Kozlovskii",36.95,33.04,69.99,2.78,8.28,2019,"WC","SP"
"146",29,29,"🇷🇺","Boikova / Kozlovskii",37.32,31.51,68.83,2.46,7.83,2019,"GPFRA","SP"
"147",30,30,"🇷🇺","Boikova / Kozlovskii",38.11,29.7,67.81,2.76,7.36,2019,"FINTRO","SP"
"148",31,31,"🇷🇺","Boikova / Kozlovskii",36.41,28.8,65.21,1.64,7.14,2019,"LOMTRO","SP"
"149",32,32,"🇷🇺","Boikova / Kozlovskii",36.15,28.42,64.57,1.74,7.07,2019,"GPCAN","SP"
"150",1,1,"🇨🇦","Moore-Towers / Marinaro",69.71,68.88,138.59,2.27,8.61,2020,"NEBTRO","FS"
"151",2,2,"🇨🇦","Moore-Towers / Marinaro",66.41,70.87,137.28,2.33,8.83,2020,"GPJPN","FS"
"152",3,3,"🇨🇦","Moore-Towers / Marinaro",67.31,69.08,136.39,2.38,8.59,2019,"4CC","FS"
"153",4,4,"🇨🇦","Moore-Towers / Marinaro",62.84,70.15,132.99,1.76,8.75,2020,"GPCAN","FS"
"154",5,5,"🇨🇦","Moore-Towers / Marinaro",65.5,67.34,131.84,1.82,8.39,2019,"WTT","FS"
"155",6,5,"🇨🇦","Moore-Towers / Marinaro",64.68,67.16,131.84,1.98,8.39,2021,"WC","FS"
"156",7,7,"🇨🇦","Moore-Towers / Marinaro",65,66.91,130.91,1.27,8.37,2020,"GPF","FS"
"157",8,8,"🇨🇦","Moore-Towers / Marinaro",64.83,64.84,129.67,1.7,8.08,2019,"GPCAN","FS"
