"","","#","Nat","Skater","TES","PCS","TotalScore","MeanGOE Mark","MeanPCS Mark","Season","Event","Seg"
"151",21,21,"🇯🇵","Yuzuru Hanyu",61.23,48.11,109.34,3.65,9.63,2020,"GPJPN","SP"
"152",22,22,"🇯🇵","Yuzuru Hanyu",59.27,47.85,107.12,3.57,9.56,2021,"WTT","SP"
"153",23,23,"🇯🇵","Yuzuru Hanyu",59.02,47.96,106.98,3.66,9.57,2021,"WC","SP"
"154",24,24,"🇯🇵","Yuzuru Hanyu",59.09,47.6,106.69,3.65,9.53,2019,"GPFIN","SP"
"155",25,25,"🇯🇵","Yuzuru Hanyu",56.21,47.32,103.53,3.76,9.46,2021,"NATJPN","SP"
"156",26,26,"🇯🇵","Yuzuru Hanyu",53.03,46.35,98.38,2.53,9.26,2020,"ATMCLA","SP"
"157",27,27,"🇯🇵","Yuzuru Hanyu",52.34,45.4,97.74,3.15,9.08,2019,"ATMCLA","SP"
"158",28,28,"🇯🇵","Yuzuru Hanyu",50.1,47.33,97.43,2.67,9.44,2020,"GPF","SP"
"159",29,29,"🇯🇵","Yuzuru Hanyu",48.07,47.08,95.15,3.85,9.39,2022,"OLY","SP"
"160",30,30,"🇯🇵","Yuzuru Hanyu",48.16,46.71,94.87,3.85,9.32,2019,"WC","SP"
"161",1,1,"🇺🇸","Camden Pulkinen",97.61,84.58,182.19,2.55,8.42,2022,"WC","FS"
"162",2,2,"🇺🇸","Camden Pulkinen",87.89,82.36,170.25,2.28,8.2,2022,"NATUSA","FS"
"163",3,3,"🇺🇸","Camden Pulkinen",75.25,81.64,156.89,1.76,8.13,2020,"NATUSA","FS"
"164",4,4,"🇺🇸","Camden Pulkinen",73.03,82.7,155.73,0.75,8.28,2020,"GPCAN","FS"
"165",5,5,"🇺🇸","Camden Pulkinen",77.64,77.86,154.5,1.07,7.79,2022,"GPRUS","FS"
"166",6,6,"🇺🇸","Camden Pulkinen",72.64,75.16,147.8,1.74,7.53,2019,"JGPAUT","FS"
"167",7,7,"🇺🇸","Camden Pulkinen",77.13,71.68,146.81,0.43,7.14,2022,"4CC","FS"
"168",8,8,"🇺🇸","Camden Pulkinen",70.13,74.4,143.53,0.62,7.46,2020,"GLDSPN","FS"
"169",9,9,"🇺🇸","Camden Pulkinen",68.88,74.28,142.16,-0.24,7.41,2020,"4CC","FS"
"170",10,10,"🇺🇸","Camden Pulkinen",68.13,75.02,142.15,0.84,7.49,2022,"USCLA","FS"
"171",11,11,"🇺🇸","Camden Pulkinen",60.12,80.9,140.02,0.68,8.08,2021,"NATUSA","FS"
"172",12,12,"🇺🇸","Camden Pulkinen",63.95,76.8,139.75,0.75,7.67,2020,"GPCHN","FS"
"173",13,13,"🇺🇸","Camden Pulkinen",62.03,77.7,138.73,0.99,7.71,2021,"GPUSA","FS"
"174",14,14,"🇺🇸","Camden Pulkinen",66.81,71.84,137.65,0.22,7.2,2022,"GPJPN","FS"
"175",15,15,"🇺🇸","Camden Pulkinen",61.51,74.4,134.91,0.03,7.39,2020,"ATMCLA","FS"
"176",16,16,"🇺🇸","Camden Pulkinen",62.45,74.82,134.27,0.5,7.5,2019,"WJC","FS"
"177",17,17,"🇺🇸","Camden Pulkinen",62.02,70.42,131.44,0.23,7.06,2019,"JGPCZE","FS"
"178",18,18,"🇺🇸","Camden Pulkinen",56.31,72.42,128.73,1.24,7.22,2022,"FINTRO","FS"
"179",19,19,"🇺🇸","Camden Pulkinen",62.11,68.5,128.61,-0.57,6.83,2020,"PHIINT","FS"
"180",20,20,"🇺🇸","Camden Pulkinen",60,69.82,127.82,-0.24,6.81,2019,"PHIINT","FS"
"181",21,21,"🇺🇸","Camden Pulkinen",57.7,67,124.7,0.55,6.76,2019,"ALPTRO","FS"
"182",22,22,"🇺🇸","Camden Pulkinen",51.34,72.14,121.48,-0.14,7.2,2019,"NATUSA","FS"
"183",23,23,"🇺🇸","Camden Pulkinen",57.69,61.68,118.37,0.17,6.23,2022,"CRNCUP","FS"
"184",24,24,"🇺🇸","Camden Pulkinen",52.31,68.06,117.37,-1.23,6.77,2019,"JGPF","FS"
"185",25,25,"🇺🇸","Camden Pulkinen",48.85,41.31,90.16,2.13,8.21,2022,"NATUSA","SP"
"186",26,26,"🇺🇸","Camden Pulkinen",48.63,40.87,89.5,2.17,8.19,2022,"WC","SP"
"187",27,27,"🇺🇸","Camden Pulkinen",47.91,41.14,89.05,2.04,8.19,2020,"GPCAN","SP"
"188",28,28,"🇺🇸","Camden Pulkinen",45.86,38.8,84.66,1.55,7.73,2020,"4CC","SP"
"189",29,29,"🇺🇸","Camden Pulkinen",45.26,38.21,83.47,1.14,7.64,2022,"GPRUS","SP"
"190",30,30,"🇺🇸","Camden Pulkinen",44.91,37.5,82.41,2.59,7.56,2019,"WJC","SP"
"191",31,31,"🇺🇸","Camden Pulkinen",41.99,39.35,81.34,1.23,7.87,2020,"ATMCLA","SP"
"192",32,32,"🇺🇸","Camden Pulkinen",44.98,36.03,81.01,2.71,7.18,2019,"JGPCZE","SP"
"193",33,33,"🇺🇸","Camden Pulkinen",42.87,37.44,80.31,2.17,7.48,2019,"JGPF","SP"
"194",34,34,"🇺🇸","Camden Pulkinen",38.78,41.3,80.08,2.39,8.32,2021,"NATUSA","SP"
"195",35,35,"🇺🇸","Camden Pulkinen",38.48,40.71,79.19,0.53,8.12,2020,"NATUSA","SP"
"196",36,36,"🇺🇸","Camden Pulkinen",40.95,38.97,78.92,0.83,7.76,2020,"GPCHN","SP"
"197",37,37,"🇺🇸","Camden Pulkinen",39.54,38.85,78.39,1.86,7.78,2019,"NATUSA","SP"
"198",38,38,"🇺🇸","Camden Pulkinen",41.37,35.78,76.15,1.44,7.16,2019,"JGPAUT","SP"
"199",39,39,"🇺🇸","Camden Pulkinen",37.54,38.5,76.04,2.08,7.69,2020,"GLDSPN","SP"
"200",40,40,"🇺🇸","Camden Pulkinen",39.25,37.26,75.51,1,7.46,2022,"FINTRO","SP"
"201",41,41,"🇺🇸","Camden Pulkinen",37.7,34.15,71.85,0.86,6.77,2019,"ALPTRO","SP"
"202",42,42,"🇺🇸","Camden Pulkinen",31.49,38.6,69.09,0.21,7.74,2021,"GPUSA","SP"
"203",43,43,"🇺🇸","Camden Pulkinen",32.11,36.09,67.2,0.41,7.2,2019,"PHIINT","SP"
"204",44,44,"🇺🇸","Camden Pulkinen",32.51,36.33,66.84,-0.72,7.26,2022,"USCLA","SP"
"205",45,45,"🇺🇸","Camden Pulkinen",29.38,33.75,61.13,-0.45,6.86,2022,"CRNCUP","SP"
"206",46,46,"🇺🇸","Camden Pulkinen",24.68,33.13,57.81,-0.56,6.66,2020,"PHIINT","SP"
"207",47,47,"🇺🇸","Camden Pulkinen",22.61,35.97,57.58,-0.55,7.17,2022,"4CC","SP"
"208",48,48,"🇺🇸","Camden Pulkinen",20.88,35.65,55.53,-0.67,7.11,2022,"GPJPN","SP"
"209",1,1,"🇺🇸","Vincent Zhou",110.14,88.36,198.5,2.79,8.85,2019,"WTT","FS"
"210",2,2,"🇺🇸","Vincent Zhou",110.19,87.94,198.13,2.1,8.79,2022,"GPUSA","FS"
"211",3,3,"🇺🇸","Vincent Zhou",99.71,87.28,186.99,2.49,8.72,2019,"WC","FS"
"212",4,4,"🇺🇸","Vincent Zhou",99.04,87.84,186.88,1.81,8.79,2022,"NEBTRO","FS"
"213",5,5,"🇺🇸","Vincent Zhou",103.71,82.02,185.73,1.31,8.2,2022,"CRNCUP","FS"
"214",6,6,"🇺🇸","Vincent Zhou",98.48,86.28,183.76,1.99,8.62,2019,"NATUSA","FS"
"215",7,7,"🇺🇸","Vincent Zhou",94.99,89.6,183.59,1.65,8.96,2021,"NATUSA","FS"
"216",8,8,"🇺🇸","Vincent Zhou",93.96,87.58,181.54,1.12,8.77,2022,"WC","FS"
"217",9,9,"🇺🇸","Vincent Zhou",94.11,86.3,180.41,2.64,8.61,2020,"NATUSA","FS"
